Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2015-01-09,01:00,Barretos - América,SP05,MP10,60.0,ug/m3,manual
2015-01-15,01:00,Barretos - América,SP05,MP10,41.0,ug/m3,manual
2015-01-21,01:00,Barretos - América,SP05,MP10,40.0,ug/m3,manual
2015-01-27,01:00,Barretos - América,SP05,MP10,20.0,ug/m3,manual
2015-02-02,01:00,Barretos - América,SP05,MP10,34.0,ug/m3,manual
2015-02-08,01:00,Barretos - América,SP05,MP10,32.0,ug/m3,manual
2015-02-14,01:00,Barretos - América,SP05,MP10,41.0,ug/m3,manual
2015-02-20,01:00,Barretos - América,SP05,MP10,28.0,ug/m3,manual
2015-02-26,01:00,Barretos - América,SP05,MP10,22.0,ug/m3,manual
2015-03-04,01:00,Barretos - América,SP05,MP10,17.0,ug/m3,manual
2015-03-10,01:00,Barretos - América,SP05,MP10,7.0,ug/m3,manual
2015-03-16,01:00,Barretos - América,SP05,MP10,17.0,ug/m3,manual
2015-03-22,01:00,Barretos - América,SP05,MP10,3.0,ug/m3,manual
2015-03-28,01:00,Barretos - América,SP05,MP10,26.0,ug/m3,manual
2015-04-03,01:00,Barretos - América,SP05,MP10,28.0,ug/m3,manual
2015-04-09,01:00,Barretos - América,SP05,MP10,31.0,ug/m3,manual
2015-04-27,01:00,Barretos - América,SP05,MP10,42.0,ug/m3,manual
2015-05-03,01:00,Barretos - América,SP05,MP10,44.0,ug/m3,manual
2015-05-09,01:00,Barretos - América,SP05,MP10,28.0,ug/m3,manual
2015-05-15,01:00,Barretos - América,SP05,MP10,28.0,ug/m3,manual
2015-06-20,01:00,Barretos - América,SP05,MP10,32.0,ug/m3,manual
2015-06-26,01:00,Barretos - América,SP05,MP10,40.0,ug/m3,manual
2015-07-02,01:00,Barretos - América,SP05,MP10,60.0,ug/m3,manual
2015-07-08,01:00,Barretos - América,SP05,MP10,28.0,ug/m3,manual
2015-07-14,01:00,Barretos - América,SP05,MP10,51.0,ug/m3,manual
2015-07-20,01:00,Barretos - América,SP05,MP10,51.0,ug/m3,manual
2015-07-26,01:00,Barretos - América,SP05,MP10,61.0,ug/m3,manual
2015-11-27,01:00,Barretos - América,SP05,MP10,45.0,ug/m3,manual
2015-12-05,01:00,Barretos - América,SP05,MP10,25.0,ug/m3,manual
2015-12-11,01:00,Barretos - América,SP05,MP10,23.0,ug/m3,manual
2015-12-17,01:00,Barretos - América,SP05,MP10,34.0,ug/m3,manual
2015-12-23,01:00,Barretos - América,SP05,MP10,24.0,ug/m3,manual
2015-12-29,01:00,Barretos - América,SP05,MP10,19.0,ug/m3,manual
2015-01-09,01:00,Barretos - América,SP05,MP10,60.0,ug/m3,manual
2015-01-15,01:00,Barretos - América,SP05,MP10,41.0,ug/m3,manual
2015-01-21,01:00,Barretos - América,SP05,MP10,40.0,ug/m3,manual
2015-01-27,01:00,Barretos - América,SP05,MP10,20.0,ug/m3,manual
2015-02-02,01:00,Barretos - América,SP05,MP10,34.0,ug/m3,manual
2015-02-08,01:00,Barretos - América,SP05,MP10,32.0,ug/m3,manual
2015-02-14,01:00,Barretos - América,SP05,MP10,41.0,ug/m3,manual
2015-02-20,01:00,Barretos - América,SP05,MP10,28.0,ug/m3,manual
2015-02-26,01:00,Barretos - América,SP05,MP10,22.0,ug/m3,manual
2015-03-04,01:00,Barretos - América,SP05,MP10,17.0,ug/m3,manual
2015-03-10,01:00,Barretos - América,SP05,MP10,7.0,ug/m3,manual
2015-03-16,01:00,Barretos - América,SP05,MP10,17.0,ug/m3,manual
2015-03-22,01:00,Barretos - América,SP05,MP10,3.0,ug/m3,manual
2015-03-28,01:00,Barretos - América,SP05,MP10,26.0,ug/m3,manual
2015-04-03,01:00,Barretos - América,SP05,MP10,28.0,ug/m3,manual
2015-04-09,01:00,Barretos - América,SP05,MP10,31.0,ug/m3,manual
2015-04-27,01:00,Barretos - América,SP05,MP10,42.0,ug/m3,manual
2015-05-03,01:00,Barretos - América,SP05,MP10,44.0,ug/m3,manual
2015-05-09,01:00,Barretos - América,SP05,MP10,28.0,ug/m3,manual
2015-05-15,01:00,Barretos - América,SP05,MP10,28.0,ug/m3,manual
2015-06-20,01:00,Barretos - América,SP05,MP10,32.0,ug/m3,manual
2015-06-26,01:00,Barretos - América,SP05,MP10,40.0,ug/m3,manual
2015-07-02,01:00,Barretos - América,SP05,MP10,60.0,ug/m3,manual
2015-07-08,01:00,Barretos - América,SP05,MP10,28.0,ug/m3,manual
2015-07-14,01:00,Barretos - América,SP05,MP10,51.0,ug/m3,manual
2015-07-20,01:00,Barretos - América,SP05,MP10,51.0,ug/m3,manual
2015-07-26,01:00,Barretos - América,SP05,MP10,61.0,ug/m3,manual
2015-11-27,01:00,Barretos - América,SP05,MP10,45.0,ug/m3,manual
2015-12-05,01:00,Barretos - América,SP05,MP10,25.0,ug/m3,manual
2015-12-11,01:00,Barretos - América,SP05,MP10,23.0,ug/m3,manual
2015-12-17,01:00,Barretos - América,SP05,MP10,34.0,ug/m3,manual
2015-12-23,01:00,Barretos - América,SP05,MP10,24.0,ug/m3,manual
2015-12-29,01:00,Barretos - América,SP05,MP10,19.0,ug/m3,manual
2016-01-12,01:00,Barretos - América,SP05,MP10,9.0,ug/m3,manual
2016-02-17,01:00,Barretos - América,SP05,MP10,25.0,ug/m3,manual
2016-02-23,01:00,Barretos - América,SP05,MP10,15.0,ug/m3,manual
2016-02-29,01:00,Barretos - América,SP05,MP10,16.0,ug/m3,manual
2016-03-06,01:00,Barretos - América,SP05,MP10,25.0,ug/m3,manual
2016-03-12,01:00,Barretos - América,SP05,MP10,26.0,ug/m3,manual
2016-03-18,01:00,Barretos - América,SP05,MP10,27.0,ug/m3,manual
2016-03-24,01:00,Barretos - América,SP05,MP10,27.0,ug/m3,manual
2016-04-05,01:00,Barretos - América,SP05,MP10,48.0,ug/m3,manual
2016-04-11,01:00,Barretos - América,SP05,MP10,59.0,ug/m3,manual
2016-04-17,01:00,Barretos - América,SP05,MP10,53.0,ug/m3,manual
2016-04-23,01:00,Barretos - América,SP05,MP10,51.0,ug/m3,manual
2016-04-29,01:00,Barretos - América,SP05,MP10,25.0,ug/m3,manual
2016-05-05,01:00,Barretos - América,SP05,MP10,48.0,ug/m3,manual
2016-05-11,01:00,Barretos - América,SP05,MP10,29.0,ug/m3,manual
2016-05-17,01:00,Barretos - América,SP05,MP10,16.0,ug/m3,manual
2016-05-23,01:00,Barretos - América,SP05,MP10,18.0,ug/m3,manual
2016-05-29,01:00,Barretos - América,SP05,MP10,22.0,ug/m3,manual
2016-06-04,01:00,Barretos - América,SP05,MP10,19.0,ug/m3,manual
2016-06-10,01:00,Barretos - América,SP05,MP10,29.0,ug/m3,manual
2016-06-16,01:00,Barretos - América,SP05,MP10,46.0,ug/m3,manual
2016-06-22,01:00,Barretos - América,SP05,MP10,53.0,ug/m3,manual
2016-06-28,01:00,Barretos - América,SP05,MP10,50.0,ug/m3,manual
2016-07-04,01:00,Barretos - América,SP05,MP10,50.0,ug/m3,manual
2016-07-10,01:00,Barretos - América,SP05,MP10,78.0,ug/m3,manual
2016-07-16,01:00,Barretos - América,SP05,MP10,76.0,ug/m3,manual
2016-07-22,01:00,Barretos - América,SP05,MP10,73.0,ug/m3,manual
2016-07-28,01:00,Barretos - América,SP05,MP10,85.0,ug/m3,manual
