Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2016-02-17,01:00,Franca - Cidade Nova,SP22,MP10,7.0,ug/m3,manual
2016-02-23,01:00,Franca - Cidade Nova,SP22,MP10,7.0,ug/m3,manual
2016-02-29,01:00,Franca - Cidade Nova,SP22,MP10,9.0,ug/m3,manual
2016-03-06,01:00,Franca - Cidade Nova,SP22,MP10,5.0,ug/m3,manual
2016-03-18,01:00,Franca - Cidade Nova,SP22,MP10,5.0,ug/m3,manual
2016-03-24,01:00,Franca - Cidade Nova,SP22,MP10,10.0,ug/m3,manual
2016-03-30,01:00,Franca - Cidade Nova,SP22,MP10,15.0,ug/m3,manual
2016-04-11,01:00,Franca - Cidade Nova,SP22,MP10,24.0,ug/m3,manual
2016-04-17,01:00,Franca - Cidade Nova,SP22,MP10,19.0,ug/m3,manual
2016-04-23,01:00,Franca - Cidade Nova,SP22,MP10,19.0,ug/m3,manual
2016-04-29,01:00,Franca - Cidade Nova,SP22,MP10,14.0,ug/m3,manual
2016-05-05,01:00,Franca - Cidade Nova,SP22,MP10,36.0,ug/m3,manual
2016-05-11,01:00,Franca - Cidade Nova,SP22,MP10,23.0,ug/m3,manual
2016-05-17,01:00,Franca - Cidade Nova,SP22,MP10,12.0,ug/m3,manual
2016-05-23,01:00,Franca - Cidade Nova,SP22,MP10,6.0,ug/m3,manual
2016-05-29,01:00,Franca - Cidade Nova,SP22,MP10,17.0,ug/m3,manual
2016-06-04,01:00,Franca - Cidade Nova,SP22,MP10,6.0,ug/m3,manual
2016-06-10,01:00,Franca - Cidade Nova,SP22,MP10,21.0,ug/m3,manual
2016-06-16,01:00,Franca - Cidade Nova,SP22,MP10,25.0,ug/m3,manual
2016-06-22,01:00,Franca - Cidade Nova,SP22,MP10,28.0,ug/m3,manual
2016-06-28,01:00,Franca - Cidade Nova,SP22,MP10,21.0,ug/m3,manual
2016-07-28,01:00,Franca - Cidade Nova,SP22,MP10,57.0,ug/m3,manual
2016-08-03,01:00,Franca - Cidade Nova,SP22,MP10,32.0,ug/m3,manual
2016-08-09,01:00,Franca - Cidade Nova,SP22,MP10,59.0,ug/m3,manual
2016-08-15,01:00,Franca - Cidade Nova,SP22,MP10,60.0,ug/m3,manual
2016-08-27,01:00,Franca - Cidade Nova,SP22,MP10,33.0,ug/m3,manual
2016-09-02,01:00,Franca - Cidade Nova,SP22,MP10,38.0,ug/m3,manual
2016-09-08,01:00,Franca - Cidade Nova,SP22,MP10,37.0,ug/m3,manual
2016-09-14,01:00,Franca - Cidade Nova,SP22,MP10,77.0,ug/m3,manual
2016-09-20,01:00,Franca - Cidade Nova,SP22,MP10,35.0,ug/m3,manual
2016-09-26,01:00,Franca - Cidade Nova,SP22,MP10,32.0,ug/m3,manual
2016-10-02,01:00,Franca - Cidade Nova,SP22,MP10,26.0,ug/m3,manual
2016-10-08,01:00,Franca - Cidade Nova,SP22,MP10,11.0,ug/m3,manual
2016-10-14,01:00,Franca - Cidade Nova,SP22,MP10,22.0,ug/m3,manual
2016-10-20,01:00,Franca - Cidade Nova,SP22,MP10,22.0,ug/m3,manual
2016-10-26,01:00,Franca - Cidade Nova,SP22,MP10,26.0,ug/m3,manual
2016-11-01,01:00,Franca - Cidade Nova,SP22,MP10,15.0,ug/m3,manual
2016-11-07,01:00,Franca - Cidade Nova,SP22,MP10,17.0,ug/m3,manual
2016-11-13,01:00,Franca - Cidade Nova,SP22,MP10,6.0,ug/m3,manual
2016-11-19,01:00,Franca - Cidade Nova,SP22,MP10,16.0,ug/m3,manual
2016-11-25,01:00,Franca - Cidade Nova,SP22,MP10,20.0,ug/m3,manual
2016-12-01,01:00,Franca - Cidade Nova,SP22,MP10,10.0,ug/m3,manual
2016-12-07,01:00,Franca - Cidade Nova,SP22,MP10,13.0,ug/m3,manual
2016-12-13,01:00,Franca - Cidade Nova,SP22,MP10,8.0,ug/m3,manual
2016-12-19,01:00,Franca - Cidade Nova,SP22,MP10,5.0,ug/m3,manual
2016-02-17,01:00,Franca - Cidade Nova,SP22,MP10,7.0,ug/m3,manual
2016-02-23,01:00,Franca - Cidade Nova,SP22,MP10,7.0,ug/m3,manual
2016-02-29,01:00,Franca - Cidade Nova,SP22,MP10,9.0,ug/m3,manual
2016-03-06,01:00,Franca - Cidade Nova,SP22,MP10,5.0,ug/m3,manual
2016-03-18,01:00,Franca - Cidade Nova,SP22,MP10,5.0,ug/m3,manual
2016-03-24,01:00,Franca - Cidade Nova,SP22,MP10,10.0,ug/m3,manual
2016-03-30,01:00,Franca - Cidade Nova,SP22,MP10,15.0,ug/m3,manual
2016-04-11,01:00,Franca - Cidade Nova,SP22,MP10,24.0,ug/m3,manual
2016-04-17,01:00,Franca - Cidade Nova,SP22,MP10,19.0,ug/m3,manual
2016-04-23,01:00,Franca - Cidade Nova,SP22,MP10,19.0,ug/m3,manual
2016-04-29,01:00,Franca - Cidade Nova,SP22,MP10,14.0,ug/m3,manual
2016-05-05,01:00,Franca - Cidade Nova,SP22,MP10,36.0,ug/m3,manual
2016-05-11,01:00,Franca - Cidade Nova,SP22,MP10,23.0,ug/m3,manual
2016-05-17,01:00,Franca - Cidade Nova,SP22,MP10,12.0,ug/m3,manual
2016-05-23,01:00,Franca - Cidade Nova,SP22,MP10,6.0,ug/m3,manual
2016-05-29,01:00,Franca - Cidade Nova,SP22,MP10,17.0,ug/m3,manual
2016-06-04,01:00,Franca - Cidade Nova,SP22,MP10,6.0,ug/m3,manual
2016-06-10,01:00,Franca - Cidade Nova,SP22,MP10,21.0,ug/m3,manual
