Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2022-06-10,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,22.0,ug/m3,manual
2022-06-16,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,36.0,ug/m3,manual
2022-06-22,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,51.0,ug/m3,manual
2022-06-28,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,31.0,ug/m3,manual
2022-07-04,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,52.0,ug/m3,manual
2022-07-10,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,47.0,ug/m3,manual
2022-07-16,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,60.0,ug/m3,manual
2022-07-22,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,48.0,ug/m3,manual
2022-08-09,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,20.0,ug/m3,manual
2022-08-21,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,16.0,ug/m3,manual
2022-08-27,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,74.0,ug/m3,manual
2022-09-02,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,26.0,ug/m3,manual
2022-09-08,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,15.0,ug/m3,manual
2022-09-14,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,21.0,ug/m3,manual
2022-09-20,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,34.0,ug/m3,manual
2022-09-26,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,15.0,ug/m3,manual
2022-10-02,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,19.0,ug/m3,manual
2022-10-08,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,27.0,ug/m3,manual
2022-10-14,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,34.0,ug/m3,manual
2022-10-20,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,33.0,ug/m3,manual
2022-10-26,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,30.0,ug/m3,manual
2022-11-01,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,33.0,ug/m3,manual
2022-11-07,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,29.0,ug/m3,manual
2022-11-13,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,17.0,ug/m3,manual
2022-11-19,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,39.0,ug/m3,manual
2022-11-25,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,34.0,ug/m3,manual
2022-12-01,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,28.0,ug/m3,manual
2022-12-07,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,22.0,ug/m3,manual
2022-12-13,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,19.0,ug/m3,manual
2022-12-19,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,10.0,ug/m3,manual
2022-06-10,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,22.0,ug/m3,manual
2022-06-16,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,36.0,ug/m3,manual
2022-06-22,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,51.0,ug/m3,manual
2022-06-28,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,31.0,ug/m3,manual
2022-07-04,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,52.0,ug/m3,manual
2022-07-10,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,47.0,ug/m3,manual
2022-07-16,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,60.0,ug/m3,manual
2022-07-22,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,48.0,ug/m3,manual
2022-08-09,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,20.0,ug/m3,manual
2022-08-21,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,16.0,ug/m3,manual
2022-08-27,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,74.0,ug/m3,manual
2022-09-02,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,26.0,ug/m3,manual
2022-09-08,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,15.0,ug/m3,manual
2022-09-14,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,21.0,ug/m3,manual
2022-09-20,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,34.0,ug/m3,manual
2022-09-26,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,15.0,ug/m3,manual
2022-10-02,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,19.0,ug/m3,manual
2022-10-08,01:00,Guaruja - Vicente de Carvalho,SP23,MP10,27.0,ug/m3,manual
