Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2015-01-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,12.0,ug/m3,manual
2015-02-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,12.0,ug/m3,manual
2015-03-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,11.0,ug/m3,manual
2015-04-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,13.0,ug/m3,manual
2015-05-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,13.0,ug/m3,manual
2015-06-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,9.0,ug/m3,manual
2015-07-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,15.0,ug/m3,manual
2015-08-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,3.0,ug/m3,manual
2015-09-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,11.0,ug/m3,manual
2015-10-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,15.0,ug/m3,manual
2015-11-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,11.0,ug/m3,manual
2015-01-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,12.0,ug/m3,manual
2015-02-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,12.0,ug/m3,manual
2015-03-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,11.0,ug/m3,manual
2015-04-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,13.0,ug/m3,manual
2015-05-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,13.0,ug/m3,manual
2015-06-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,9.0,ug/m3,manual
2015-07-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,15.0,ug/m3,manual
2015-08-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,3.0,ug/m3,manual
2015-09-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,11.0,ug/m3,manual
2015-10-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,15.0,ug/m3,manual
2015-11-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,11.0,ug/m3,manual
2016-02-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,8.0,ug/m3,manual
2016-03-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,27.0,ug/m3,manual
2016-05-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,12.0,ug/m3,manual
2016-06-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,12.0,ug/m3,manual
2016-07-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,13.0,ug/m3,manual
2016-08-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,9.0,ug/m3,manual
2016-10-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,8.0,ug/m3,manual
2016-11-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,14.0,ug/m3,manual
2016-12-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,10.0,ug/m3,manual
2016-02-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,8.0,ug/m3,manual
2016-03-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,27.0,ug/m3,manual
2016-05-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,12.0,ug/m3,manual
2016-06-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,12.0,ug/m3,manual
2016-07-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,13.0,ug/m3,manual
2016-08-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,9.0,ug/m3,manual
2016-10-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,8.0,ug/m3,manual
2016-11-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,14.0,ug/m3,manual
2016-12-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,10.0,ug/m3,manual
2017-01-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,15.0,ug/m3,manual
2017-02-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,13.0,ug/m3,manual
2017-04-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,13.0,ug/m3,manual
2017-05-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,11.0,ug/m3,manual
2017-06-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,14.0,ug/m3,manual
2017-07-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,15.0,ug/m3,manual
2017-08-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,13.0,ug/m3,manual
2017-09-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,11.0,ug/m3,manual
2017-10-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,10.0,ug/m3,manual
2017-01-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,15.0,ug/m3,manual
2017-02-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,13.0,ug/m3,manual
2017-04-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,13.0,ug/m3,manual
2017-05-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,11.0,ug/m3,manual
2017-06-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,14.0,ug/m3,manual
2017-07-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,15.0,ug/m3,manual
2017-08-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,13.0,ug/m3,manual
2017-09-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,11.0,ug/m3,manual
2017-10-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,10.0,ug/m3,manual
2018-01-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,10.0,ug/m3,manual
2018-02-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,8.0,ug/m3,manual
2018-03-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,12.0,ug/m3,manual
2018-05-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,11.0,ug/m3,manual
2018-06-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,9.0,ug/m3,manual
2018-07-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,10.0,ug/m3,manual
2018-08-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,10.0,ug/m3,manual
2018-09-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,11.0,ug/m3,manual
2018-10-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,15.0,ug/m3,manual
2018-11-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,17.0,ug/m3,manual
2018-12-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,12.0,ug/m3,manual
2018-01-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,10.0,ug/m3,manual
2018-02-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,8.0,ug/m3,manual
2018-03-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,12.0,ug/m3,manual
2018-05-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,11.0,ug/m3,manual
2018-06-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,9.0,ug/m3,manual
2018-07-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,10.0,ug/m3,manual
2018-08-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,10.0,ug/m3,manual
2018-09-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,11.0,ug/m3,manual
2018-10-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,15.0,ug/m3,manual
2018-11-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,17.0,ug/m3,manual
2018-12-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,12.0,ug/m3,manual
2019-01-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,15.0,ug/m3,manual
2019-04-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,11.0,ug/m3,manual
2019-05-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,10.0,ug/m3,manual
2019-06-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,8.0,ug/m3,manual
2019-07-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,12.0,ug/m3,manual
2019-08-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,14.0,ug/m3,manual
2019-09-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,12.0,ug/m3,manual
2019-10-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,16.0,ug/m3,manual
2019-11-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,11.0,ug/m3,manual
2019-01-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,15.0,ug/m3,manual
2019-04-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,11.0,ug/m3,manual
2019-05-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,10.0,ug/m3,manual
2019-06-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,8.0,ug/m3,manual
2019-07-01,01:00,Paulínia - Bairro Cascata,SP46,SO2,12.0,ug/m3,manual
