Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2015-01-15,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,43.0,ug/m3,manual
2015-01-21,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,47.0,ug/m3,manual
2015-01-27,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,22.0,ug/m3,manual
2015-02-02,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,54.0,ug/m3,manual
2015-02-08,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,34.0,ug/m3,manual
2015-02-14,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,43.0,ug/m3,manual
2015-02-20,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,35.0,ug/m3,manual
2015-02-26,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,42.0,ug/m3,manual
2015-03-04,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,42.0,ug/m3,manual
2015-03-10,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,30.0,ug/m3,manual
2015-03-22,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,19.0,ug/m3,manual
2015-03-28,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,29.0,ug/m3,manual
2015-04-03,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,31.0,ug/m3,manual
2015-05-27,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,39.0,ug/m3,manual
2015-06-08,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,37.0,ug/m3,manual
2015-07-02,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,49.0,ug/m3,manual
2015-07-08,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,39.0,ug/m3,manual
2015-07-14,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,71.0,ug/m3,manual
2015-08-01,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,68.0,ug/m3,manual
2015-08-07,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,78.0,ug/m3,manual
2015-08-13,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,64.0,ug/m3,manual
2015-08-19,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,92.0,ug/m3,manual
2015-09-06,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,63.0,ug/m3,manual
2015-09-12,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,30.0,ug/m3,manual
2015-09-30,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,39.0,ug/m3,manual
2015-10-18,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,53.0,ug/m3,manual
2015-10-24,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,32.0,ug/m3,manual
2015-01-15,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,43.0,ug/m3,manual
2015-01-21,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,47.0,ug/m3,manual
2015-01-27,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,22.0,ug/m3,manual
2015-02-02,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,54.0,ug/m3,manual
2015-02-08,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,34.0,ug/m3,manual
2015-02-14,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,43.0,ug/m3,manual
2015-02-20,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,35.0,ug/m3,manual
2015-02-26,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,42.0,ug/m3,manual
2015-03-04,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,42.0,ug/m3,manual
2015-03-10,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,30.0,ug/m3,manual
2015-03-22,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,19.0,ug/m3,manual
2015-03-28,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,29.0,ug/m3,manual
2015-04-03,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,31.0,ug/m3,manual
2015-05-27,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,39.0,ug/m3,manual
2015-06-08,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,37.0,ug/m3,manual
2015-07-02,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,49.0,ug/m3,manual
2015-07-08,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,39.0,ug/m3,manual
2015-07-14,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,71.0,ug/m3,manual
2015-08-01,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,68.0,ug/m3,manual
2015-08-07,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,78.0,ug/m3,manual
2015-08-13,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,64.0,ug/m3,manual
2015-08-19,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,92.0,ug/m3,manual
2015-09-06,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,63.0,ug/m3,manual
2015-09-12,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,30.0,ug/m3,manual
2015-09-30,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,39.0,ug/m3,manual
2015-10-18,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,53.0,ug/m3,manual
2015-10-24,01:00,Ribeirão Preto - Campos Elíseos,SP120,MP10,32.0,ug/m3,manual
