Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2015-01-09,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,81.0,ug/m3,manual
2015-01-15,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,95.0,ug/m3,manual
2015-01-21,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,70.0,ug/m3,manual
2015-01-27,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,49.0,ug/m3,manual
2015-02-02,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,64.0,ug/m3,manual
2015-02-08,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,47.0,ug/m3,manual
2015-02-14,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,52.0,ug/m3,manual
2015-02-26,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,75.0,ug/m3,manual
2015-03-04,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,68.0,ug/m3,manual
2015-03-10,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,74.0,ug/m3,manual
2015-03-16,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,23.0,ug/m3,manual
2015-03-22,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,25.0,ug/m3,manual
2015-03-28,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,71.0,ug/m3,manual
2015-04-03,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,54.0,ug/m3,manual
2015-04-09,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,90.0,ug/m3,manual
2015-04-15,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,89.0,ug/m3,manual
2015-04-21,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,51.0,ug/m3,manual
2015-04-27,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,96.0,ug/m3,manual
2015-05-03,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,40.0,ug/m3,manual
2015-05-09,01:00,Santa Gertrudes - Jd. Luciana,SP58,MP10,77.0,ug/m3,manual
