Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2015-01-09,01:00,Franca - Centro,SP101,FMC,4.0,ug/m3,manual
2015-01-15,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-01-21,01:00,Franca - Centro,SP101,FMC,5.0,ug/m3,manual
2015-01-27,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-02-02,01:00,Franca - Centro,SP101,FMC,5.0,ug/m3,manual
2015-02-08,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-02-14,01:00,Franca - Centro,SP101,FMC,4.0,ug/m3,manual
2015-02-20,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-02-26,01:00,Franca - Centro,SP101,FMC,5.0,ug/m3,manual
2015-03-04,01:00,Franca - Centro,SP101,FMC,6.0,ug/m3,manual
2015-03-10,01:00,Franca - Centro,SP101,FMC,5.0,ug/m3,manual
2015-03-16,01:00,Franca - Centro,SP101,FMC,5.0,ug/m3,manual
2015-03-22,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-03-28,01:00,Franca - Centro,SP101,FMC,7.0,ug/m3,manual
2015-04-03,01:00,Franca - Centro,SP101,FMC,2.0,ug/m3,manual
2015-04-09,01:00,Franca - Centro,SP101,FMC,5.0,ug/m3,manual
2015-04-15,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-04-21,01:00,Franca - Centro,SP101,FMC,2.0,ug/m3,manual
2015-04-27,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-05-03,01:00,Franca - Centro,SP101,FMC,1.0,ug/m3,manual
2015-05-09,01:00,Franca - Centro,SP101,FMC,1.0,ug/m3,manual
2015-05-15,01:00,Franca - Centro,SP101,FMC,2.0,ug/m3,manual
2015-05-21,01:00,Franca - Centro,SP101,FMC,5.0,ug/m3,manual
2015-05-27,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-06-02,01:00,Franca - Centro,SP101,FMC,5.0,ug/m3,manual
2015-06-08,01:00,Franca - Centro,SP101,FMC,6.0,ug/m3,manual
2015-06-14,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-06-26,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-07-08,01:00,Franca - Centro,SP101,FMC,2.0,ug/m3,manual
2015-07-14,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-07-20,01:00,Franca - Centro,SP101,FMC,2.0,ug/m3,manual
2015-07-26,01:00,Franca - Centro,SP101,FMC,9.0,ug/m3,manual
2015-08-01,01:00,Franca - Centro,SP101,FMC,2.0,ug/m3,manual
2015-08-07,01:00,Franca - Centro,SP101,FMC,4.0,ug/m3,manual
2015-08-13,01:00,Franca - Centro,SP101,FMC,1.0,ug/m3,manual
2015-08-19,01:00,Franca - Centro,SP101,FMC,2.0,ug/m3,manual
2015-08-25,01:00,Franca - Centro,SP101,FMC,2.0,ug/m3,manual
2015-08-31,01:00,Franca - Centro,SP101,FMC,6.0,ug/m3,manual
2015-09-06,01:00,Franca - Centro,SP101,FMC,2.0,ug/m3,manual
2015-09-12,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-09-18,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-09-24,01:00,Franca - Centro,SP101,FMC,8.0,ug/m3,manual
2015-09-30,01:00,Franca - Centro,SP101,FMC,9.0,ug/m3,manual
2015-10-06,01:00,Franca - Centro,SP101,FMC,2.0,ug/m3,manual
2015-10-12,01:00,Franca - Centro,SP101,FMC,2.0,ug/m3,manual
2015-10-18,01:00,Franca - Centro,SP101,FMC,6.0,ug/m3,manual
2015-10-30,01:00,Franca - Centro,SP101,FMC,2.0,ug/m3,manual
2015-11-05,01:00,Franca - Centro,SP101,FMC,4.0,ug/m3,manual
2015-11-11,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-11-17,01:00,Franca - Centro,SP101,FMC,2.0,ug/m3,manual
2015-11-23,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-11-29,01:00,Franca - Centro,SP101,FMC,4.0,ug/m3,manual
2015-12-05,01:00,Franca - Centro,SP101,FMC,2.0,ug/m3,manual
2015-12-11,01:00,Franca - Centro,SP101,FMC,5.0,ug/m3,manual
2015-12-17,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-01-09,01:00,Franca - Centro,SP101,FMC,4.0,ug/m3,manual
2015-01-15,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-01-21,01:00,Franca - Centro,SP101,FMC,5.0,ug/m3,manual
2015-01-27,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-02-02,01:00,Franca - Centro,SP101,FMC,5.0,ug/m3,manual
2015-02-08,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
2015-02-14,01:00,Franca - Centro,SP101,FMC,4.0,ug/m3,manual
2015-02-20,01:00,Franca - Centro,SP101,FMC,3.0,ug/m3,manual
