Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2015-01-09,01:00,Limeira - Centro,SP109,FMC,5.0,ug/m3,manual
2015-01-15,01:00,Limeira - Centro,SP109,FMC,8.0,ug/m3,manual
2015-01-21,01:00,Limeira - Centro,SP109,FMC,3.0,ug/m3,manual
2015-01-27,01:00,Limeira - Centro,SP109,FMC,2.0,ug/m3,manual
2015-02-02,01:00,Limeira - Centro,SP109,FMC,4.0,ug/m3,manual
2015-02-08,01:00,Limeira - Centro,SP109,FMC,5.0,ug/m3,manual
2015-02-14,01:00,Limeira - Centro,SP109,FMC,8.0,ug/m3,manual
2015-02-20,01:00,Limeira - Centro,SP109,FMC,7.0,ug/m3,manual
2015-02-26,01:00,Limeira - Centro,SP109,FMC,7.0,ug/m3,manual
2015-03-04,01:00,Limeira - Centro,SP109,FMC,7.0,ug/m3,manual
2015-03-10,01:00,Limeira - Centro,SP109,FMC,7.0,ug/m3,manual
2015-03-22,01:00,Limeira - Centro,SP109,FMC,4.0,ug/m3,manual
2015-03-28,01:00,Limeira - Centro,SP109,FMC,8.0,ug/m3,manual
2015-04-03,01:00,Limeira - Centro,SP109,FMC,4.0,ug/m3,manual
2015-04-09,01:00,Limeira - Centro,SP109,FMC,6.0,ug/m3,manual
2015-04-15,01:00,Limeira - Centro,SP109,FMC,8.0,ug/m3,manual
2015-04-21,01:00,Limeira - Centro,SP109,FMC,6.0,ug/m3,manual
2015-04-27,01:00,Limeira - Centro,SP109,FMC,8.0,ug/m3,manual
2015-05-03,01:00,Limeira - Centro,SP109,FMC,2.0,ug/m3,manual
2015-05-09,01:00,Limeira - Centro,SP109,FMC,3.0,ug/m3,manual
2015-05-15,01:00,Limeira - Centro,SP109,FMC,8.0,ug/m3,manual
2015-05-21,01:00,Limeira - Centro,SP109,FMC,5.0,ug/m3,manual
2015-05-27,01:00,Limeira - Centro,SP109,FMC,11.0,ug/m3,manual
2015-06-02,01:00,Limeira - Centro,SP109,FMC,12.0,ug/m3,manual
2015-06-08,01:00,Limeira - Centro,SP109,FMC,32.0,ug/m3,manual
2015-06-14,01:00,Limeira - Centro,SP109,FMC,15.0,ug/m3,manual
2015-06-20,01:00,Limeira - Centro,SP109,FMC,8.0,ug/m3,manual
2015-06-26,01:00,Limeira - Centro,SP109,FMC,15.0,ug/m3,manual
2015-07-02,01:00,Limeira - Centro,SP109,FMC,27.0,ug/m3,manual
2015-07-08,01:00,Limeira - Centro,SP109,FMC,14.0,ug/m3,manual
2015-07-14,01:00,Limeira - Centro,SP109,FMC,22.0,ug/m3,manual
2015-07-20,01:00,Limeira - Centro,SP109,FMC,22.0,ug/m3,manual
2015-07-26,01:00,Limeira - Centro,SP109,FMC,11.0,ug/m3,manual
