,Date,year,month,day,flow
663,1969-05-01,1969,5,1,
1327,1969-05-02,1969,5,2,
1991,1969-05-03,1969,5,3,
2655,1969-05-04,1969,5,4,
3319,1969-05-05,1969,5,5,
3983,1969-05-06,1969,5,6,
4647,1969-05-07,1969,5,7,
5311,1969-05-08,1969,5,8,
5975,1969-05-09,1969,5,9,
6639,1969-05-10,1969,5,10,
7303,1969-05-11,1969,5,11,
7967,1969-05-12,1969,5,12,
8631,1969-05-13,1969,5,13,
9295,1969-05-14,1969,5,14,
9959,1969-05-15,1969,5,15,
10623,1969-05-16,1969,5,16,
11287,1969-05-17,1969,5,17,"16,2331"
11951,1969-05-18,1969,5,18,"16,2331"
12615,1969-05-19,1969,5,19,"16,2331"
13279,1969-05-20,1969,5,20,"16,2331"
13943,1969-05-21,1969,5,21,"16,2331"
14607,1969-05-22,1969,5,22,"15,7979"
15271,1969-05-23,1969,5,23,"16,2331"
15935,1969-05-24,1969,5,24,"15,7979"
16599,1969-05-25,1969,5,25,"15,7979"
17263,1969-05-26,1969,5,26,"15,367"
17927,1969-05-27,1969,5,27,"14,9405"
18591,1969-05-28,1969,5,28,"14,9405"
19255,1969-05-29,1969,5,29,"14,9405"
19919,1969-05-30,1969,5,30,"14,9405"
20583,1969-05-31,1969,5,31,"14,9405"
662,1969-06-01,1969,6,1,"14,9405"
1326,1969-06-02,1969,6,2,"14,9405"
1990,1969-06-03,1969,6,3,"14,5186"
2654,1969-06-04,1969,6,4,"16,2331"
3318,1969-06-05,1969,6,5,"16,2331"
3982,1969-06-06,1969,6,6,"15,7979"
4646,1969-06-07,1969,6,7,"15,367"
5310,1969-06-08,1969,6,8,"14,9405"
5974,1969-06-09,1969,6,9,"14,9405"
6638,1969-06-10,1969,6,10,"14,5186"
7302,1969-06-11,1969,6,11,"14,5186"
7966,1969-06-12,1969,6,12,"14,5186"
8630,1969-06-13,1969,6,13,"14,1011"
9294,1969-06-14,1969,6,14,"14,1011"
9958,1969-06-15,1969,6,15,"13,6882"
10622,1969-06-16,1969,6,16,"13,6882"
11286,1969-06-17,1969,6,17,"13,6882"
11950,1969-06-18,1969,6,18,"13,2798"
12614,1969-06-19,1969,6,19,"13,2798"
13278,1969-06-20,1969,6,20,"13,2798"
13942,1969-06-21,1969,6,21,"13,2798"
14606,1969-06-22,1969,6,22,"12,8761"
15270,1969-06-23,1969,6,23,"12,8761"
15934,1969-06-24,1969,6,24,"12,8761"
16598,1969-06-25,1969,6,25,"12,477"
17262,1969-06-26,1969,6,26,"12,477"
17926,1969-06-27,1969,6,27,"12,477"
18590,1969-06-28,1969,6,28,"12,0826"
19254,1969-06-29,1969,6,29,"12,0826"
19918,1969-06-30,1969,6,30,"12,0826"
661,1969-07-01,1969,7,1,"11,6929"
1325,1969-07-02,1969,7,2,"11,6929"
1989,1969-07-03,1969,7,3,"11,6929"
2653,1969-07-04,1969,7,4,"11,6929"
3317,1969-07-05,1969,7,5,"11,6929"
3981,1969-07-06,1969,7,6,"11,6929"
4645,1969-07-07,1969,7,7,"11,3079"
5309,1969-07-08,1969,7,8,"11,3079"
5973,1969-07-09,1969,7,9,"11,3079"
6637,1969-07-10,1969,7,10,"11,3079"
7301,1969-07-11,1969,7,11,"11,3079"
7965,1969-07-12,1969,7,12,"10,9278"
8629,1969-07-13,1969,7,13,"10,9278"
9293,1969-07-14,1969,7,14,"10,5525"
9957,1969-07-15,1969,7,15,"10,5525"
10621,1969-07-16,1969,7,16,"10,5525"
11285,1969-07-17,1969,7,17,"10,5525"
11949,1969-07-18,1969,7,18,"10,5525"
12613,1969-07-19,1969,7,19,"10,1821"
13277,1969-07-20,1969,7,20,"10,1821"
13941,1969-07-21,1969,7,21,"10,1821"
14605,1969-07-22,1969,7,22,"9,8166"
15269,1969-07-23,1969,7,23,"9,8166"
15933,1969-07-24,1969,7,24,"9,8166"
16597,1969-07-25,1969,7,25,"9,8166"
17261,1969-07-26,1969,7,26,"9,8166"
17925,1969-07-27,1969,7,27,"9,8166"
18589,1969-07-28,1969,7,28,"9,4561"
19253,1969-07-29,1969,7,29,"9,4561"
19917,1969-07-30,1969,7,30,"9,4561"
20581,1969-07-31,1969,7,31,"9,4561"
660,1969-08-01,1969,8,1,"9,4561"
1324,1969-08-02,1969,8,2,"9,4561"
1988,1969-08-03,1969,8,3,"9,4561"
2652,1969-08-04,1969,8,4,"9,4561"
3316,1969-08-05,1969,8,5,"9,1007"
3980,1969-08-06,1969,8,6,"9,1007"
4644,1969-08-07,1969,8,7,"8,7503"
5308,1969-08-08,1969,8,8,"8,7503"
5972,1969-08-09,1969,8,9,"8,405"
6636,1969-08-10,1969,8,10,"8,405"
7300,1969-08-11,1969,8,11,"8,405"
7964,1969-08-12,1969,8,12,"8,065"
8628,1969-08-13,1969,8,13,"8,065"
9292,1969-08-14,1969,8,14,"7,7302"
9956,1969-08-15,1969,8,15,"7,7302"
10620,1969-08-16,1969,8,16,"7,7302"
11284,1969-08-17,1969,8,17,"7,7302"
11948,1969-08-18,1969,8,18,"7,4006"
12612,1969-08-19,1969,8,19,"7,4006"
13276,1969-08-20,1969,8,20,"7,4006"
13940,1969-08-21,1969,8,21,"7,4006"
14604,1969-08-22,1969,8,22,"7,4006"
15268,1969-08-23,1969,8,23,"7,0765"
15932,1969-08-24,1969,8,24,"7,0765"
16596,1969-08-25,1969,8,25,"7,0765"
17260,1969-08-26,1969,8,26,"7,0765"
17924,1969-08-27,1969,8,27,"7,0765"
18588,1969-08-28,1969,8,28,"6,7577"
19252,1969-08-29,1969,8,29,"6,7577"
19916,1969-08-30,1969,8,30,"6,7577"
20580,1969-08-31,1969,8,31,"6,7577"
659,1969-09-01,1969,9,1,"6,7577"
1323,1969-09-02,1969,9,2,"6,7577"
1987,1969-09-03,1969,9,3,"6,7577"
2651,1969-09-04,1969,9,4,"6,7577"
3315,1969-09-05,1969,9,5,"6,7577"
3979,1969-09-06,1969,9,6,"6,7577"
4643,1969-09-07,1969,9,7,"6,7577"
5307,1969-09-08,1969,9,8,"6,7577"
5971,1969-09-09,1969,9,9,"6,4444"
6635,1969-09-10,1969,9,10,"6,4444"
7299,1969-09-11,1969,9,11,"6,4444"
7963,1969-09-12,1969,9,12,"6,4444"
8627,1969-09-13,1969,9,13,"6,1367"
9291,1969-09-14,1969,9,14,"6,1367"
9955,1969-09-15,1969,9,15,"6,1367"
10619,1969-09-16,1969,9,16,"6,1367"
11283,1969-09-17,1969,9,17,"6,1367"
11947,1969-09-18,1969,9,18,"6,1367"
12611,1969-09-19,1969,9,19,"5,8346"
13275,1969-09-20,1969,9,20,"5,8346"
13939,1969-09-21,1969,9,21,"5,8346"
14603,1969-09-22,1969,9,22,"5,8346"
15267,1969-09-23,1969,9,23,"5,8346"
15931,1969-09-24,1969,9,24,"5,8346"
16595,1969-09-25,1969,9,25,"5,5382"
17259,1969-09-26,1969,9,26,"5,5382"
17923,1969-09-27,1969,9,27,"5,5382"
18587,1969-09-28,1969,9,28,"5,2476"
19251,1969-09-29,1969,9,29,"5,2476"
19915,1969-09-30,1969,9,30,"5,2476"
658,1969-10-01,1969,10,1,"5,2476"
1322,1969-10-02,1969,10,2,"9,1007"
1986,1969-10-03,1969,10,3,"9,1007"
2650,1969-10-04,1969,10,4,"9,1007"
3314,1969-10-05,1969,10,5,"9,1007"
3978,1969-10-06,1969,10,6,"8,405"
4642,1969-10-07,1969,10,7,"8,405"
5306,1969-10-08,1969,10,8,"7,7302"
5970,1969-10-09,1969,10,9,"7,0765"
6634,1969-10-10,1969,10,10,"6,7577"
7298,1969-10-11,1969,10,11,"6,7577"
7962,1969-10-12,1969,10,12,"6,4444"
8626,1969-10-13,1969,10,13,"6,1367"
9290,1969-10-14,1969,10,14,"5,8346"
9954,1969-10-15,1969,10,15,"5,5382"
10618,1969-10-16,1969,10,16,"5,2476"
11282,1969-10-17,1969,10,17,"4,9628"
11946,1969-10-18,1969,10,18,"4,9628"
12610,1969-10-19,1969,10,19,"6,1367"
13274,1969-10-20,1969,10,20,"6,1367"
13938,1969-10-21,1969,10,21,"6,7577"
14602,1969-10-22,1969,10,22,"6,7577"
15266,1969-10-23,1969,10,23,"8,065"
15930,1969-10-24,1969,10,24,"8,065"
16594,1969-10-25,1969,10,25,"8,405"
17258,1969-10-26,1969,10,26,"8,405"
17922,1969-10-27,1969,10,27,"8,405"
18586,1969-10-28,1969,10,28,"7,7302"
19250,1969-10-29,1969,10,29,"7,7302"
19914,1969-10-30,1969,10,30,"7,4006"
20578,1969-10-31,1969,10,31,"6,7577"
657,1969-11-01,1969,11,1,"6,7577"
1321,1969-11-02,1969,11,2,"6,7577"
1985,1969-11-03,1969,11,3,"6,7577"
2649,1969-11-04,1969,11,4,"6,4444"
3313,1969-11-05,1969,11,5,"6,4444"
3977,1969-11-06,1969,11,6,"6,4444"
4641,1969-11-07,1969,11,7,"6,4444"
5305,1969-11-08,1969,11,8,"8,065"
5969,1969-11-09,1969,11,9,"11,3079"
6633,1969-11-10,1969,11,10,"14,1011"
7297,1969-11-11,1969,11,11,"23,7736"
7961,1969-11-12,1969,11,12,"27,9307"
8625,1969-11-13,1969,11,13,"37,5619"
9289,1969-11-14,1969,11,14,"39,3694"
9953,1969-11-15,1969,11,15,"26,3427"
10617,1969-11-16,1969,11,16,"23,2716"
11281,1969-11-17,1969,11,17,"21,3036"
11945,1969-11-18,1969,11,18,"19,4009"
12609,1969-11-19,1969,11,19,"18,4745"
13273,1969-11-20,1969,11,20,"16,2331"
13937,1969-11-21,1969,11,21,"16,2331"
14601,1969-11-22,1969,11,22,"12,0826"
15265,1969-11-23,1969,11,23,"12,0826"
15929,1969-11-24,1969,11,24,"8,405"
16593,1969-11-25,1969,11,25,"8,405"
17257,1969-11-26,1969,11,26,"11,6929"
17921,1969-11-27,1969,11,27,"11,3079"
18585,1969-11-28,1969,11,28,"12,477"
19249,1969-11-29,1969,11,29,"14,5186"
19913,1969-11-30,1969,11,30,"17,1168"
656,1969-12-01,1969,12,1,"19,8704"
1320,1969-12-02,1969,12,2,"20,344"
1984,1969-12-03,1969,12,3,"20,8218"
2648,1969-12-04,1969,12,4,"20,8218"
3312,1969-12-05,1969,12,5,"26,3427"
3976,1969-12-06,1969,12,6,"30,6531"
4640,1969-12-07,1969,12,7,"21,3036"
5304,1969-12-08,1969,12,8,"18,9356"
5968,1969-12-09,1969,12,9,"18,0177"
6632,1969-12-10,1969,12,10,"17,1168"
7296,1969-12-11,1969,12,11,"16,2331"
7960,1969-12-12,1969,12,12,"16,6728"
8624,1969-12-13,1969,12,13,"17,1168"
9288,1969-12-14,1969,12,14,"17,1168"
9952,1969-12-15,1969,12,15,"17,5651"
10616,1969-12-16,1969,12,16,"25,3033"
11280,1969-12-17,1969,12,17,"27,9307"
11944,1969-12-18,1969,12,18,"18,4745"
12608,1969-12-19,1969,12,19,"13,6882"
